znacka,model,cena,rok,stav,najeto,palivo,vykon,prevodovka
Škoda,Superb,560000,2019,Ojeté,146800,Hybridní,160,Automatická
Cupra,Formentor,605000,2023,Ojeté,44923,Benzín,110,Automatická
Škoda,Octavia,427000,2021,Ojeté,68621,CNG + benzín,96,Automatická
Volkswagen,Caddy,278000,2020,Ojeté,240985,Nafta,75,Manuální
Škoda,Karoq,320000,2020,Ojeté,191861,Nafta,85,Manuální
Mercedes-Benz,Třídy E,485000,2020,Ojeté,226200,Nafta,144,Automatická
Volkswagen,Sharan,610000,2019,Ojeté,114250,Nafta,130,Automatická
Volkswagen,Passat,399990,2020,Ojeté,179990,Nafta,147,Automatická
Opel,Insignia,448000,2021,Ojeté,119838,Benzín,169,Automatická
Peugeot,208,139000,2016,Ojeté,86356,Benzín,60,Manuální
Škoda,Yeti,160000,2014,Ojeté,269755,Nafta,81,Manuální
