znacka,model,cena,rok,stav,najeto,vykon,palivo,kapacita_baterie,prevodovka,pohon
Škoda,Superb,499000,2021,Ojeté,170357,147,Nafta,0,Automatická,4x4
Mercedes-Benz,Třídy E,1875500,2021,Ojeté,18519,320,Benzín,0,Automatická,4x4
Škoda,Superb,580000,2021,Ojeté,193578,206,Benzín,0,Automatická,4x4
Mazda,MX-30,409000,2021,Ojeté,11189,107,Elektro,36,Automatická,Pohon předních kol
Hyundai,i30,350000,2021,Ojeté,76294,100,Nafta,0,Manuální,
Škoda,Octavia,649000,2021,Ojeté,169092,147,Nafta,0,Automatická,4x4
Škoda,Fabia,269000,2021,Ojeté,56365,70,Benzín,0,Manuální,Pohon předních kol
Mercedes-Benz,Třídy S,1869000,2021,Ojeté,99000,243,Nafta,0,Automatická,4x4
BMW,X3,999000,2021,Ojeté,73860,210,Nafta,0,Automatická,4x4
Porsche,911,3999000,2021,Ojeté,18286,283,Benzín,0,Automatická,4x4
Porsche,Cayman,2099000,2021,Ojeté,26727,294,Benzín,0,Automatická,Pohon zadních kol
Škoda,Fabia,280000,2021,Ojeté,41762,70,Benzín,0,Manuální,
Mercedes-Benz,Třídy S,1449000,2021,Ojeté,106218,210,Nafta,0,Automatická,4x4
Audi,RS7,2249000,2021,Ojeté,75285,441,Benzín,0,Automatická,4x4
BMW,Řada 6,999000,2021,Ojeté,82878,210,Nafta,0,Automatická,Pohon zadních kol
Porsche,911,3499000,2021,Ojeté,20806,331,Benzín,0,Automatická,4x4
Škoda,Octavia,405000,2021,Ojeté,130250,85,Nafta,0,Automatická,Pohon předních kol
Škoda,Octavia,586000,2021,Ojeté,50256,150,Benzín,0,Automatická,Pohon předních kol
Škoda,Octavia,460000,2021,Ojeté,139250,110,Nafta,0,Automatická,Pohon předních kol
Volkswagen,e-up,295000,2021,Ojeté,35500,61,Elektro,0,Automatická,Pohon předních kol
Hyundai,Santa Fe,800000,2021,Ojeté,118500,195,Hybridní,0,Automatická,4x4
Dodge,Ram,999000,2019,Ojeté,193000,295,Benzín,0,Automatická,4x4
BMW,X5,1039000,2021,Ojeté,99646,250,Benzín,0,Automatická,4x4
Škoda,Fabia,245000,2021,Ojeté,169400,70,Benzín,0,Manuální,Pohon předních kol
Volkswagen,Tiguan,556000,2021,Ojeté,131551,110,Nafta,0,Manuální,Pohon předních kol
Hyundai,i30,389900,2021,Ojeté,23692,88,Benzín,0,Automatická,
Škoda,Octavia,579999,2021,Ojeté,96950,110,Nafta,0,Automatická,4x4
Volkswagen,Touran,499000,2021,Ojeté,135388,110,Nafta,0,Automatická,Pohon předních kol
Land Rover,Defender,1049000,2021,Ojeté,85000,183,Nafta,0,Automatická,4x4
Mercedes-Benz,GLS,1449000,2021,Ojeté,169144,243,Nafta,0,Automatická,4x4
Škoda,Octavia,458000,2021,Ojeté,89000,110,Benzín,0,Manuální,Pohon předních kol
Lamborghini,Urus,4799000,2021,Ojeté,75063,478,Benzín,0,Automatická,4x4
Škoda,Enyaq,679000,2021,Ojeté,45534,150,Elektro,0,Automatická,Pohon zadních kol
Volkswagen,Tiguan,686000,2021,Ojeté,75527,147,Nafta,0,Automatická,4x4
Porsche,Panamera,1749000,2021,Ojeté,51294,340,Hybridní,0,Automatická,4x4
Ford,Mondeo,675000,2021,Ojeté,51300,138,Hybridní,0,Automatická,Pohon předních kol
Škoda,Octavia,339000,2021,Ojeté,214606,110,Nafta,0,Manuální,Pohon předních kol
Škoda,Kodiaq,629000,2021,Ojeté,137745,147,Nafta,0,Automatická,4x4
Kia,Niro EV,430000,2020,Ojeté,105988,150,Elektro,67,Automatická,
Volkswagen,Passat,450000,2021,Ojeté,159016,110,Nafta,0,Automatická,Pohon předních kol
Volvo,S60,959000,2024,Ojeté,30728,257,Hybridní,0,Automatická,4x4
Škoda,Octavia,430000,2021,Ojeté,137299,110,Nafta,0,Manuální,Pohon předních kol
Ford,Ranger,700000,2021,Ojeté,131492,156,Nafta,0,Automatická,4x4
Škoda,Octavia,348000,2021,Ojeté,164574,85,Nafta,0,Manuální,Pohon předních kol
Opel,Insignia,419000,2021,Ojeté,104581,147,Benzín,0,Automatická,Pohon předních kol
Nissan,LEAF,495000,2021,Ojeté,25200,110,Elektro,40,Automatická,Pohon předních kol
Audi,S7,1420000,2021,Ojeté,117000,298,Nafta,0,Automatická,4x4
Volkswagen,e-Golf,409000,2021,Ojeté,11955,100,Elektro,0,Automatická,Pohon předních kol
Volkswagen,Passat Variant,459000,2021,Ojeté,190042,147,Nafta,0,Automatická,4x4
BMW,Řada 1,550000,2021,Ojeté,144398,140,Nafta,0,Automatická,4x4
Audi,A6 Avant,789000,2021,Ojeté,126400,150,Nafta,0,Automatická,
Volkswagen,Polo,250000,2021,Ojeté,69705,66,CNG + benzín,0,Manuální,Pohon předních kol
Volkswagen,Arteon,549000,2021,Ojeté,99303,110,Benzín,0,Manuální,Pohon předních kol
Škoda,Octavia,329000,2021,Ojeté,153256,96,CNG + benzín,0,Automatická,
Kia,Cee´d,360000,2021,Ojeté,44305,103,Benzín,0,Manuální,Pohon předních kol
Škoda,Fabia,240000,2021,Ojeté,74217,70,Benzín,0,Manuální,Pohon předních kol
Škoda,Octavia,399000,2021,Ojeté,127070,110,Nafta,0,Automatická,Pohon předních kol
Škoda,Octavia,434000,2021,Ojeté,69217,110,Benzín,0,Manuální,Pohon předních kol
Škoda,Octavia,460000,2021,Ojeté,106381,150,Hybridní,0,Automatická,Pohon předních kol
